,tweet_text
1/3/2019 22:12,b'RT @Dody_Lukas___: 24. Para pemuda tani dari berbagai daerah diundang untuk sama-sama berlatih dan berkreasi guna mencari terobosan dalam p\xe2\x80\xa6'
1/3/2019 22:12,b'RT @Ferista: Saya rasa bukan orang dewasa yang ngefans sama bapak @prabowo tapi Balitapun udah ngefans sama beliau \xf0\x9f\x98\x84 #CeritaPrabowo https:/\xe2\x80\xa6'
1/3/2019 22:12,"b'RT @Dody_Lukas___: 2. Berbagai cerita beredar tentang sosok Prabowo, mulai dari mantan anak buahnya semasa di TNI, para tetangga dan masyar\xe2\x80\xa6'"
1/3/2019 22:12,"b'RT @Dody_Lukas___: 23.  Untuk itu, melalui pusat pelatihan, pendidikan dan penyuluhan serta usaha peternakannya di bojong Koneng, ""pasukan""\xe2\x80\xa6'"
1/3/2019 22:12,b'@helmifelis #CeritaPrabowo \n#CeritaPrabowo'
1/3/2019 22:12,"b'RT @Dody_Lukas___: 3. Menurut mereka gambaran tokoh ini jauh dari gambaran seorang pimpinan militer, malah terlihat begitu humanis dan akra\xe2\x80\xa6'"
1/3/2019 22:12,"b'RT @Dody_Lukas___: 22. Sebagai pemimpin petani, Prabowo Subianto ingin memberi keteladanan yang berkualitas. Prabowo Tidak mau disebut hany\xe2\x80\xa6'"
1/3/2019 22:12,b'#CeritaPrabowo \nhttps://t.co/g2u774N4TP'
1/3/2019 22:12,b'RT @BasukiAyu: Ceritakan semua tentang kebenaran dan siapa pak @prabowo sebenarnya...\n\n#CeritaPrabowo\n#CeritaPrabowo https://t.co/7gOl6gia5K'
1/3/2019 22:11,"b""@LisaAmartaTara Wa'alaikumussalam warohmatullahi wabarokatuh \n#CeritaPrabowo \n#17AprilPrabowoSandi"""
1/3/2019 22:11,b'RT @RajaPurwa: #CeritaPrabowo tentang penculikan aktivis jadi isu 5 tahunan\n\nNie gw kasih ilustrasinya supaya pada jelas yehhh! \n\nSo... Mrk\xe2\x80\xa6'
1/3/2019 22:11,"b'RT @Dody_Lukas___: 4. Sosok ""the new Prabowo"" yang beberapa bulan lalu muncul di permukaan media ternyata tidak benar,menurut kesaksian beb\xe2\x80\xa6'"
1/3/2019 22:11,b'RT @Dody_Lukas___: 6. Berbeda dengan pimpinan partai politik lain yang lebih mementingkan kesejahteraan kelompok dibanding kesejahteraan ra\xe2\x80\xa6'
1/3/2019 22:11,b'RT @Ferista: Dengan jantung berdetak keras karena salting \xf0\x9f\x98\x9c (untung kamera HP sudah ready) lalu saya selfie dengan beliau dan perasaan saya\xe2\x80\xa6'
1/3/2019 22:11,b'#CeritaPrabowo\n#2019GantiPresiden\n#17AprilPrabowoPresiden\n#2019TetapAntiPKI\n#2019TakutDiganti https://t.co/JjLk5egyzD'
1/3/2019 22:11,"b'RT @Dody_Lukas___: 7. Beberapa buku pun beredar menceritakan rekam jejak seorang Prabowo Subianto, beberapa diantaranya menceritakan sisi h\xe2\x80\xa6'"
1/3/2019 22:11,"b'RT @Dody_Lukas___: 20. Hal ini dapat dipahami karena Prabowo Subianto tidak ingin terjebak pada pola-pola protokoler yang justru semakin ""m\xe2\x80\xa6'"
1/3/2019 22:11,"b'RT @Dody_Lukas___: 8. Tak ada yang dapat mengingkari bahwa Prabowo adalah sosok yang cerdas, berbagai strategi dan kebijakan semasa ia menj\xe2\x80\xa6'"
1/3/2019 22:11,"b'RT @Dody_Lukas___: 19. Prabowo menganggap petani adalah anak bangsa yang keberadaannya penting untuk dihormati. Akibatnya, bila kita cermat\xe2\x80\xa6'"
1/3/2019 22:11,"b'RT @Teh_telor78: Prabowo Subianto dan Sandiaga Uno, the next Indonesian leader... \nKampanyenya selalu penuh dan di tunggu2 rakyat, tanpa pe\xe2\x80\xa6'"
1/3/2019 22:10,b'RT @RelawanProSandi: Terlihatkan...\n\nMereka manfaatkan semua fasilitas utk berkuasa.\n\nMari kumpulkan semua dalam #CeritaPrabowo agar para m\xe2\x80\xa6'
1/3/2019 22:10,b'Manchester City Bungkam Liverpool 2-1\n\nhttps://t.co/57FJ0JOpAQ\n\n#BolaPelangi\n#hotnews\n#ManchesterCity \n#Liverpool\xe2\x80\xa6 https://t.co/UqHL2KavZR'
1/3/2019 22:10,"b'RT @Dody_Lukas___: 9. Bahkan cerita konyol banyak ditemukan dalam buku karangan anak buahnya, semisal buku karangan mas Yuza yang mencerita\xe2\x80\xa6'"
1/3/2019 22:10,b'RT @Dody_Lukas___: 18. Ngobrol santainya Prabowo dengan petani penting kita beri catatan khusus. Prabowo tampak tidak ingin membuat jarak d\xe2\x80\xa6'
1/3/2019 22:10,b'RT @Partai_Gerindra: RT @Rusydi_riau: ll\xf0\x9f\x91\x89 YUK KITA NAIKKAN TAGAR\n #Ceritaprabowo https://t.co/kHf4vLxIVV'
1/3/2019 22:10,b'RT @Gerindra: #CeritaPrabowo https://t.co/GcWE326yu0'
1/3/2019 22:10,b'RT @Dody_Lukas___: 10. Prabowo menginisiasi beberapa pendaki asal Indonesia untuk menaklukkan gunung tertinggi di dunia yakni Mount Everest\xe2\x80\xa6'
1/3/2019 22:10,b'RT @Dody_Lukas___: 11. Prabowo sempat meminjam Helikopter milik nepal hanya untuk mengantarkan rendang bagi para pendaki yang rindu akan ma\xe2\x80\xa6'
1/3/2019 22:10,b'RT @Dody_Lukas___: 12. Berbagai kegiatan sosial yang sama sekali tidak menggunakan dana negara terus dilakukan oleh organisasi dan partai G\xe2\x80\xa6'
1/3/2019 22:10,b'RT @Dody_Lukas___: 13. Prabowo menginisiasi anggotanya untuk turun langsung ke masyarakat dalam rangka memberantas kekurangan gizi.\n#Cerita\xe2\x80\xa6'
1/3/2019 22:10,b'RT @GugunRiady: https://t.co/NrXRy1wJ36\nWedeeewww... beribu cerita yg menjafi kenangan indah bersama @prabowo \n#CeritaPrabowo \n#CeritaPrabo\xe2\x80\xa6'
1/3/2019 22:10,"b'RT @MichelaniaAdam: @AnnaSuezann @KPU_ID Paslon ga BRANI atau ga mampu presentasikan visi misi, lempar handuk saja. Sekarang juga\n\n#CeritaP\xe2\x80\xa6'"
1/3/2019 22:10,"b'RT @Dody_Lukas___: 16. beliau mengajarkan bagaimana pemimpin harus berkorban demi kepentingan orang banyak, dan tidak mendahulukan kepentin\xe2\x80\xa6'"
1/3/2019 22:09,"b'RT @Dody_Lukas___: 14. Prabowo kini menjadi panutan sebagian masyarakat, beliau mengajarkan bahwa pemimpin adalah mereka yang mampu memberi\xe2\x80\xa6'"
1/3/2019 22:09,b'RT @AtunaliaD: #CeritaPrabowo \n#ceritaPrabowo\n#ceritaPrabowo https://t.co/abm57qYXsA'
1/3/2019 22:09,"b'RT @Dody_Lukas___: 15. beliau mengajarkan bahwa pemimpin harus memiliki pengetahuan yang luas, beliau mengajarkan bahwa pemimpin harus kuat\xe2\x80\xa6'"
1/3/2019 22:09,"b'RT @Hery1107: Beberapa tahun lalu, dapet kesempatan yg ga semua org bisa dapet. Buka puasa &amp; makan semeja bareng sambil diskusi sama pak @p\xe2\x80\xa6'"
1/3/2019 22:09,b'RT @AtunaliaD: #CeritaPrabowo \n#ceritaPrabowo\n#ceritaPrabowo https://t.co/2IvdaKdtdh'
1/3/2019 22:09,b'RT @helmifelis: 3. Masyarakat belum tau\nDunia maya makin panas\nSaya mencoba menenangkan\n\nNaniek S Deyang mengharu biru sosok yang dikagumi\xe2\x80\xa6'
1/3/2019 22:09,"b'RT @putrabanten80: Cerita Pak Prabowo Ketika Jadi Danyon.\n\nWaktu Itu Saya Masih Gagah, Kalau Sekarang Agak Gagah Sedikit Sedikit. #CeritaPr\xe2\x80\xa6'"
1/3/2019 22:09,"b'RT @fariomeda: @prabowo Tidak mungkin @prabowo menjual negara ini, krn beliau begitu siap mati untuk negara ini\n\nTidak mungkin beliau mempe\xe2\x80\xa6'"
1/3/2019 22:09,"b'RT @helmifelis: 4. Waktu habis, akhirnya diumumkan\nMasyarakat tersentak\n\nBukan hanya AB dipilih\nTapi AB malah jadi Gubernurnya\n\nBisa dibaya\xe2\x80\xa6'"
1/3/2019 22:09,"b'RT @Dody_Lukas___: 17. Selaku Ketua umum HKTI, Prabowo pasti memahami dengan utuh apa yang selama ini menjadi keinginan dan kebutuhan kaum\xe2\x80\xa6'"
1/3/2019 22:09,"b'RT @helmifelis: 5. Luar Biasa Prabowo #LBP\nBeliau memilih bekas musuhnya\n\nUntuk dijadikan Gubernur,\nBahkan rela orang partainya jadi wakil\xe2\x80\xa6'"
1/3/2019 22:09,b'RT @helmifelis: 6. Apa itu ikhlas?\nIkhlas itu membuang segala sesuatu yang bukan bagian darinya\n\nItu makna ikhlas\nPrabowo tidak larut dalam\xe2\x80\xa6'
1/3/2019 22:09,b'RT @helmifelis: 7. Anies Baswedan pun tidak menyangka\nOrang yang habis dia bully memintanya jadi Gubernur. Bahkan menomor 2 kan partainya\xe2\x80\xa6'
1/3/2019 22:09,"b'RT @fariomeda: @prabowo Berani dibilang, tdk ada yg hidupnya memikirkan kemajuan bangsa ini selain @prabowo. Beliau kaya, saudaranya konglo\xe2\x80\xa6'"
1/3/2019 22:09,b'RT @helmifelis: 8. Prabowo bukan hanya selesai dengan dirinya. Tapi lebih dari itu\n\nDia korbankan dirinya demi Indonesia yang lebih dicinta\xe2\x80\xa6'
1/3/2019 22:09,b'RT @helmifelis: 9. Dan seakan cocok dengan Prabowo ternyata si anak muda ini justru senang\n\nSetelah bekerja belusukan di Jakarta setahun to\xe2\x80\xa6'
1/3/2019 22:09,"b'RT @helmifelis: 10. Sosok2 mulia ini kini bersama berjuang untuk Indonesia\n\nMereka tidak bisa menang tanpa kalian\nMaka wajib hukumnya, bagi\xe2\x80\xa6'"
1/3/2019 22:09,b'RT @Ferista: Jantung sangat amat bergetar saat beliau jalan ke arah saya untuk bersalaman (karena saya urutan pertama dibarisan itu) tetapi\xe2\x80\xa6'
1/3/2019 22:08,"b'RT @fariomeda: @prabowo Kalau disebut cinta tanah air @prabowo adl 24 karat. Beliau bnyk belajar dr dunia,  pd saat didepan rektorat ITB me\xe2\x80\xa6'"
1/3/2019 22:08,b'RT @Dody_Lukas___: 21. Pengalamannya selama menjadi petinggi di militer membuat Prabowo paham betul bagaimana dirinya harus berkomunikasi d\xe2\x80\xa6'
1/3/2019 22:08,"b'RT @zarazettirazr: Tapi di Australi udah jam 1:30 pagi belum TT 1 nih #CeritaPrabowo di Twitter \xf0\x9f\x98\x82 kawan2 lanjutkan yah, uni pamit \xf0\x9f\x99\x8f rehat j\xe2\x80\xa6'"
1/3/2019 22:08,"b'Setelah pak prabowo memimpin tidak ada lagi orang yg seenaknya menghina ulama, tidak ada lagi tebang piliih hukum.\xe2\x80\xa6 https://t.co/Jv1bH9sotM'"
1/3/2019 22:08,"b'RT @fariomeda: @prabowo Sebagai seorang jenius @prabowo muda melihat bagaimana Jepang bisa bangkit dan maju dengam semangat Bushido, Kesatr\xe2\x80\xa6'"
1/3/2019 22:08,"b'RT @Dody_Lukas___: 27. Maka ketika terdengar kabar Prabowo Subianto memiliki niat untuk menjadi Rl1 dalam Pemilihan Umum Presiden 2019, dap\xe2\x80\xa6'"
