,tweet_text
1/3/2019 22:50,"b'RT @ridlwandjogja: Dalam hujan, masyarakat Blitar  bahagia dan senang bertemu Presidennya. Alhamdulillah. \n#01JokowiBanyakCinta https://t.c\xe2\x80\xa6'"
1/3/2019 22:48,"b""RT @Bisnis2014: Jangan Lupa...\n.\n#UYM: #OneDayOneAyat...\n.\nNgafalin Qur'an 1hr 1ayat.\n.\n#ODOA\n#HappyPayTren\n.\nTTT:\nHOAX\nPolisi\nAndi Arief\n#\xe2\x80\xa6"""
1/3/2019 22:44,b'RT @Riki_Zura: Bravo Pak @jokowi \n#01JokowiBanyakCinta https://t.co/y7xBbgzDIB'
1/3/2019 22:44,b'@jokowi Mantap pak presidenku..\xf0\x9f\x91\x8d tdk ada satupun presiden sebelumnya spt Bpk...biarkan anjing menggonggong kafilah\xe2\x80\xa6 https://t.co/QNwTQImWuo'
1/3/2019 22:39,"b'RT @MarjanFa1: Bless you all freedom lovers from #Indonesia, and your president, Mr. #Jokowi.\nMay your freedom and peace last forever.\n#01J\xe2\x80\xa6'"
1/3/2019 22:39,"b'RT @MarjanFa1: @Mr_HerryRodin How proud Indonesian, a democratic country, to their leader with \n #01JokowiBanyakCinta. How about you #Khame\xe2\x80\xa6'"
1/3/2019 22:37,"b'RT @pintar_politik: 9. Belajar dari Abah dalam kisah Keluarga Cemara, apapun yang terjadi, jadilah pemimpin optimis. Tidak suka menakut-nak\xe2\x80\xa6'"
1/3/2019 22:36,b'RT @Tika_amndaa: #01JokowiBanyakCinta https://t.co/NBX1vDPNAV'
1/3/2019 22:36,b'RT @cintada17: #01JokowiBanyakCinta https://t.co/aI6hcFarlz'
1/3/2019 22:33,"b'Program 1 juta rumah yang dicanangkan Presiden jokowi , SUKSES 100%\n\n#2019PilihJokowi #01IndonesiaMaju #JokowiLagi\xe2\x80\xa6 https://t.co/U2vmGVEkC4'"
1/3/2019 22:29,b'RT @mumu_alimuddin: Lapor Pak Presiden. \nPenerimaan negara tahun 2018 berhasil mencapai 100% dari targer APBN pak ..\nLaporan selesai.\nLanju\xe2\x80\xa6'
1/3/2019 22:29,b'RT @mirzamarb: Tetap bekerja dengan semangat membangun bangsa\n#01JokowiBanyakCinta https://t.co/nbqvglk7xl'
1/3/2019 22:29,b'RT @RosminaMds: Bekerja dengan cinta karena #01JokowiBanyakCinta https://t.co/orH6QlPRTL'
1/3/2019 22:25,"b'Semangat terus, optimis, dan berdaya juang untuk berkomunikasi dgn orang lain serta berpartisipasi untuk Pak Jokowi\xe2\x80\xa6 https://t.co/vzZxgpKMH5'"
1/3/2019 22:24,b'RT @MandaInka91: #01JokowiBanyakCinta https://t.co/1fTPgS1Ur6'
1/3/2019 22:23,b'RT @Arda_Dsn: Mantabz\n#01JokowiBanyakCinta \n#01JokowiLagi https://t.co/HSpJ48N8B2'
1/3/2019 22:23,b'RT @Anggraini_4yu: #01JokowiBanyakCinta Abal2\n#2019GantiPresiden #Nomor02\n#2019PrabowoSandi #PS02\n\nWajah Boleh Macho\n\nLagu nya Melow \xe2\x9c\x8c\xe2\x9c\x8c\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 h\xe2\x80\xa6'
1/3/2019 22:22,"b'RT @SufiHoax: Pakde sangat merakyat, sederhana dan dicintai oleh rakyat #01JokowiBanyakCinta'"
1/3/2019 22:22,"b'RT @SufiHoax: Beliau org baik, kenapa tidak kita memperjuangkan yg baik demi bangsa dan negara kita. Ayo pemuda jangan biarkan beliau sendi\xe2\x80\xa6'"
1/3/2019 22:21,"b'RT @SufiHoax: Beliau anti hoax, berbicara dgn fakta yg valid. Tidak asal bunyi, tdk ingin memecah belah bangsanya sendiri. Karena itulah be\xe2\x80\xa6'"
1/3/2019 22:21,b'RT @adele_cath: What a love #01JokowiBanyakCinta https://t.co/GKHYRuYoiE'
1/3/2019 22:21,"b'RT @SufiHoax: Beliau tdk korup, dan selalu bekerja demi kepentingan rakyat dari Sabang sampai Merauke. Karena itulah beliau dicintai #01Jok\xe2\x80\xa6'"
1/3/2019 22:19,b'RT @MurtadhaOne: Meskipun hujan Pak Jokowi tetap menyalami dan memenuhi permintaan warga berswafoto di lokasi proyek pengendalian banjir Ka\xe2\x80\xa6'
1/3/2019 22:19,"b'RT @R_GUN4W4N: Bobotoh Persib dan Komunitas Motor Gede menyambangi kediaman @KHMarufAmin_ untuk menyampaikan DUKUNGAN ""Jokowi - Ma\'ruf Amin\xe2\x80\xa6'"
1/3/2019 22:16,"b'RT @SatyaJogja03: Pak Jokowi membuat Infrastruktur yang baik menciptakan peluang ekonomi yang baru, menggairahkan hubungan antar kota, anta\xe2\x80\xa6'"
1/3/2019 22:12,b'RT @Je_Ly: Terdampak bencana bukan berarti hrs hilang sukacita. \nAnak2 pun terlihat hepi ketika bp @jokowi mengajak mereka tebak2an. Seru \xf0\x9f\x98\x8d\xe2\x80\xa6'
1/3/2019 22:12,"b'RT @Je_Ly: Mengunjungi pasien korban bencana di RS Bob Bazaar - bp @jokowi mendengarkan tiap cerita dg seksama.\n\nIni yg disebut perhatian,\xe2\x80\xa6'"
1/3/2019 22:07,b'Hujan tak menyurutkan langkah Pak Jokowi meninjau proyek pengendalian banjir Kali Bogel Blitar.\n#SuaraJatimUntuk01\xe2\x80\xa6 https://t.co/UWYX7qzwJM'
1/3/2019 22:07,b'Pakde @Jokowi bisa... \n#01JokowiBanyakCinta https://t.co/VOg68giaQf'
1/3/2019 22:06,b'Semangat ki pakde @Jokowi\n#01JokowiBanyakCinta https://t.co/fBvZ3sloqp'
1/3/2019 22:04,b'Pakde @Jokowi pasti bisa...\n#01JokowiBanyakCinta https://t.co/u2vovHHpTt'
1/3/2019 22:03,"b'Semoga di tahun 2019 ini pakde @Jokowi bisa lebih berprestasi lagi,Amin....\n#01JokowiBanyakCinta https://t.co/geC8Up3Sxa'"
1/3/2019 22:01,b'Pakde @jokowi #01JokowiBanyakCinta https://t.co/wV6RkO1L65'
1/3/2019 21:59,b'Semangatki pakde @jokowi \n#01JokowiBanyakCinta https://t.co/8kJIqVztsp'
